days,MD,type
1,1.2970046244962579,calibration
2,1.2275247437081647,calibration
3,1.0623858454655994,calibration
4,1.2924351592578358,calibration
5,1.1676828444002434,calibration
6,1.4090022048500221,calibration
7,1.3955611836532267,calibration
8,1.0139292083804468,calibration
9,1.0360211783342623,calibration
10,1.3491502601301697,calibration
11,1.4220698859050624,calibration
12,1.3453026977273104,calibration
13,1.2546521802676154,calibration
14,1.183464366812275,calibration
15,1.2623954742219539,calibration
16,1.4495943272054386,calibration
17,1.425963678826531,calibration
18,1.1085652309468395,calibration
19,1.290526300893673,calibration
20,1.1747932553884841,calibration
21,1.1978843014261273,calibration
22,1.2299731450160218,calibration
23,1.1388227915493645,calibration
24,1.242991254310206,calibration
25,1.35062693339925,calibration
26,1.9511407653212198,test
27,1.8455772825103576,test
28,1.9751669532705236,test
29,1.9766496790883903,test
30,1.5854594608029369,test
31,1.424380397927618,test
32,1.80022513533375,test
33,1.58898330185871,test
34,1.466309731579088,test
35,1.9137185922823803,test
36,1.6765323765850404,test
37,1.6329314544284625,test
38,1.8063807558978815,test
39,1.8453303224233086,test
40,1.6283771249206118,test
41,1.7149570924204465,test
42,1.6603464388625615,test
43,1.5181419124666604,test
44,1.5891177083290802,test
45,1.5643800909131234,test
46,1.469938043513892,test
47,1.732936150372387,test
48,1.435802645029519,test
49,1.7554687802448121,test
50,1.5647726779370938,test
